phrase,chi2
fix broken,0.8790995648851287
come united,0.8956382890638306
reform bill,0.9038142050766176
hire illegal immigrant,0.9115679629618392
american people,0.9118032506022946
law president,0.9138494127174381
southern border,0.9202917167965403
use taxpayer,0.9274599933928387
center immigration,0.9365729312116771
million undocumented,0.9414081565849288
unlawful immigrant,0.9429718220763033
separation power,0.9467719326874613
heritage foundation,0.9519446613618472
immigrant get,0.9560770505085552
stem visa,0.9593234834863589
amnesty act,0.9619294552717952
health insurance policy,0.9686073256050765
border secure,0.9728583564392419
american exceptionalism,0.9809598174359713
drug cartel,0.9838489086613413
program purpose,0.9843722999583472
national medium,0.9880233091065593
senate immigration bill,0.993731650925302
law enforce,0.9948335631025135
president calderon,1.0025804589166571
illegal immigrant get,1.0055922246476237
bipartisan bill,1.0127298673827703
american woman,1.0158994933128642
harry reid,1.0176320666211485
gang eight,1.0252537207972194
come across,1.0310407500690228
american worker,1.0348120762264084
enforce immigration law,1.0371943643185626
rule pass,1.038360874739858
taxpayer dollar,1.0457634379432743
house republicans,1.0491715167542406
roll back,1.0514849229129943
house republican,1.053784627210404
puerto rico,1.0686013634944493
fix broken immigration,1.0727219007189706
violence women,1.0729478730140465
million illegal alien,1.0732876291949018
mr speaker,1.0757935329534767
enforce immigration,1.0794611997884593
radical islamist,1.0834174796434097
hire illegal,1.0864086018994843
free enterprise,1.1066916959255937
security number,1.1102901375058578
social security number,1.1102901375058578
heritage month,1.1155830589645728
bill amend immigration,1.1204679721717548
pass bill amend,1.127665284676073
branch government,1.1301933369102128
immigrant community,1.1461432046978757
ignore law,1.1533612732883989
diversity visa,1.157498162626144
amend immigration,1.1645459831439682
amend immigration nationality,1.1645459831439682
president say,1.174116175267967
open border,1.176186379883414
american taxpayer,1.1815165008854083
insurance policy,1.1826486110774106
asian pacific american,1.1958198982826345
pacific american,1.1958198982826345
immigration reform bill,1.2083078692129399
radical islam,1.2208641054186395
immigration nationality,1.2234095699075873
immigration nationality act,1.2234095699075873
put interest,1.2290959492148168
legal worker,1.2500019576893613
nationality act,1.253860590619458
pron go,1.2540532101659392
country illegally,1.2573913551034381
citizen legal,1.2715545666381536
amnesty illegal,1.2718100813576103
victim domestic violence,1.2777373342522145
citizen legal immigrant,1.2807724445499789
amnesty bill,1.2876044911562343
united states,1.3158541044055028
immigrant woman,1.336807348863138
illegal worker,1.3614518858031412
pass comprehensive immigration,1.3658607771407165
suspend rule,1.3681219970145375
suspend rule pass,1.3711543457592472
across border,1.3897002619071888
pass comprehensive,1.3986657739192392
mr speaker move,1.4348710689734965
health care,1.4548711784207726
charter school,1.4782674355782939
come illegally,1.4907089450997244
undocumented immigrant,1.492912188333389
speaker move,1.4969679092973602
sanctuary city,1.5173461694531667
victim domestic,1.5808747796327434
rule pass bill,1.603293857239529
federal employee,1.612254763850173
break law,1.627071459688206
legal immigrant,1.6613536995341616
broken immigration system,1.666462792316649
broken immigration,1.7015543368045791
federal government,1.7113551799647821
move suspend,1.7143338320405448
move suspend rule,1.7143338320405448
speaker move suspend,1.7143338320405448
amnesty million illegal,1.7472950369149758
give amnesty,1.803308613091423
obama administration,1.809526120636878
violence woman act,1.9250176434825637
woman act,1.9250176434825637
enforce law,1.9415363716159237
immigration system,2.1810878293411173
amnesty million,2.2397752585337853
health insurance,2.2491477137974423
asian pacific,2.2868759555618823
grant amnesty,2.3209818027788782
executive amnesty,2.4874849044705174
violence woman,2.5977604106029046
rule law,2.732563533635665
million illegal immigrant,3.0598215235517356
immigration law,3.1508773252788314
illegal immigration,3.5524319444441295
domestic violence,3.6416435810711136
million illegal,4.099073640979208
comprehensive immigration reform,4.816732198996082
comprehensive immigration,4.954537503154343
immigration reform,5.431936759728268
illegal alien,6.121928952874459
illegal immigrant,10.464478449043527
