phrase,chi2,party
unit state order,2.538978647121559,R
would think would,2.538978647121559,R
famili across countri,2.6358664821076037,D
need immigr reform,2.6358664821076037,D
strong support hr,2.8469161995960874,D
immigr system broken,2.909404724822025,D
born unit state,3.006030316095214,D
level play field,3.006030316095214,D
rais minimum wage,3.006030316095214,D
secur appropri bill,3.006030316095214,D
health insur program,3.135273661757699,R
make end meet,3.145093489754703,R
homeland secur dhs,3.163423055322335,D
countri around world,3.186765356599877,R
depart health human,3.186765356599877,R
right unit state,3.186765356599877,R
unit state depart,3.186765356599877,R
act immigr reform,3.2422791531462023,D
amicus brief suprem,3.2422791531462023,D
brief suprem court,3.2422791531462023,D
children born unit,3.2422791531462023,D
dream come true,3.2422791531462023,D
immigr reform also,3.2422791531462023,D
madam rise opposit,3.2422791531462023,D
thank gentleman colorado,3.2422791531462023,D
urg colleagu reject,3.2422791531462023,D
would secur border,3.2422791531462023,D
young peopl brought,3.2422791531462023,D
urg colleagu join,3.253143776882804,D
chairman judiciari committe,3.2613503013132,R
million million peopl,3.2613503013132,R
take job american,3.2613503013132,R
colleagu support legisl,3.3853048628287468,R
countri unit state,3.3853048628287468,R
immigr law enforc,3.3853048628287468,R
unit state dont,3.3853048628287468,R
unit state well,3.3853048628287468,R
brave men women,3.4236525064714947,D
american peopl see,3.588250811227847,R
colleagu support amend,3.588250811227847,R
enforc nation immigr,3.588250811227847,R
secretari jeh johnson,3.588250811227847,R
senat judiciari committe,3.588250811227847,R
unit state continu,3.588250811227847,R
unit state even,3.588250811227847,R
mr yield time,3.773676490361281,R
colleagu support import,3.8792717102725267,D
men women children,3.8792717102725267,D
men women serv,3.8792717102725267,D
rise today opposit,3.8792717102725267,D
secur border protect,3.8792717102725267,D
shut depart homeland,3.8792717102725267,D
take execut action,3.8792717102725267,D
urg colleagu pass,3.8792717102725267,D
use execut action,3.8792717102725267,D
presid ronald reagan,3.8828335961787186,D
fund depart homeland,3.9048026957725397,R
illeg immigr countri,3.90807597177154,R
home state texa,4.015579464670663,D
reform immigr system,4.015579464670663,D
support dream act,4.015579464670663,D
member side aisl,4.039576735184758,D
immigr unit state,4.052917016496856,R
million million million,4.10186832680836,R
urg colleagu support,4.113675246895677,R
congression budget offic,4.18253193855091,R
enter countri illeg,4.231631078535932,R
rise strong support,4.261052472907746,D
work hard play,4.270374299394131,D
rise strong opposit,4.3931108035126725,D
children unit state,4.4239435710084,R
health care go,4.4239435710084,R
health insur plan,4.4239435710084,R
immigr respons act,4.4239435710084,R
unit state make,4.4239435710084,R
unit state said,4.4239435710084,R
communiti across countri,4.524642141765289,D
cooper law enforc,4.524642141765289,D
import us understand,4.524642141765289,D
issu face countri,4.524642141765289,D
reform broken immigr,4.524642141765289,D
rise today recogn,4.524642141765289,D
bring bill floor,4.579026897901844,D
bring us togeth,4.6196589439288385,D
also nation law,4.7129238446320745,R
attack unit state,4.7129238446320745,R
congress pass presid,4.7129238446320745,R
illeg border cross,4.7129238446320745,R
influx illeg immigr,4.7129238446320745,R
peopl million peopl,4.7129238446320745,R
unit state district,4.7129238446320745,R
visa waiver program,4.760264076475684,D
first asian american,4.844312328394109,D
immigr come countri,4.848000759140108,R
resid unit state,4.944128809367129,R
us citizenship immigr,4.944128809367129,R
american peopl know,5.077957294243118,R
articl ii section,5.077957294243118,R
american way life,5.163017086841091,R
legal immigr countri,5.163017086841091,R
madam yield back,5.163017086841091,R
resolut reserv balanc,5.163017086841091,R
violat immigr law,5.163017086841091,R
billion next year,5.176295979032879,D
first japanes immigr,5.176295979032879,D
presid georg hw,5.176295979032879,D
strong bipartisan support,5.176295979032879,D
urg colleagu side,5.176295979032879,D
women act vawa,5.176295979032879,D
american peopl need,5.263623876761442,R
unit state one,5.263623876761442,R
unit state want,5.263623876761442,R
us border patrol,5.263623876761442,R
civil right movement,5.452063809026751,D
el paso texa,5.452063809026751,D
illeg immigr reform,5.523344884483099,R
immigr legal immigr,5.523344884483099,R
reform immigr respons,5.523344884483099,R
colleagu side aisl,5.61773081784848,D
need comprehens immigr,5.693832399192175,D
across unit state,5.787449917964613,R
unit state citizen,5.787449917964613,R
hard play rule,5.855697215462917,D
replac broken immigr,5.855697215462917,D
attorney general eric,5.894147530009757,R
cost american taxpay,5.894147530009757,R
general eric holder,5.894147530009757,R
health care provid,5.894147530009757,R
unit state citizenship,5.894147530009757,R
mr rise opposit,6.023369197005993,D
rule under bill,6.023369197005993,D
arriv first japanes,6.147637795275591,D
children us citizen,6.147637795275591,D
end sexual domest,6.147637795275591,D
forc end sexual,6.147637795275591,D
immigr reform hous,6.147637795275591,D
immigr reform year,6.147637795275591,D
lesbian gay bisexu,6.147637795275591,D
nation task forc,6.147637795275591,D
pass bipartisan bill,6.147637795275591,D
pass strong bipartisan,6.147637795275591,D
rise today express,6.147637795275591,D
senat daniel inouy,6.147637795275591,D
special order hour,6.147637795275591,D
task forc end,6.147637795275591,D
year hous republican,6.147637795275591,D
osama bin laden,6.325082624440549,R
border secur border,6.442680796024416,R
express sens congress,6.442680796024416,R
law present unit,6.442680796024416,R
sever year ago,6.442680796024416,R
short period time,6.442680796024416,R
state unit state,6.442680796024416,R
support reserv balanc,6.442680796024416,R
unit state use,6.442680796024416,R
reduc deficit billion,6.484558306292405,D
presid obama act,6.493068094514122,D
rise opposit rule,6.493068094514122,D
health care cost,6.5227006026264,R
peopl say well,6.671356282193832,R
unit state peopl,6.671356282193832,R
gross domest product,6.7706097256574935,R
billion dollar econom,6.830708661417322,D
broad discret exercis,6.830708661417322,D
congression district new,6.830708661417322,D
dr martin luther,6.830708661417322,D
immigr reform one,6.830708661417322,D
move countri forward,6.830708661417322,D
nativ american immigr,6.830708661417322,D
protect immigr women,6.830708661417322,D
sexual domest violenc,6.830708661417322,D
thousand young peopl,6.830708661417322,D
whether make sens,6.830708661417322,D
yield customari minut,6.830708661417322,D
urg colleagu oppos,6.847305012942989,D
creat job american,6.868540346852765,D
law enforc agenc,6.90803799979358,D
world war ii,6.965936355184848,R
econom social cultur,7.118871716905481,R
legal unit state,7.118871716905481,R
unit state mr,7.118871716905481,R
white hous presid,7.118871716905481,R
issu execut order,7.119125689260024,D
better life famili,7.156391113934965,D
comprehens immigr bill,7.156391113934965,D
million peopl live,7.156391113934965,D
protect american peopl,7.156391113934965,D
want thank colleagu,7.156391113934965,D
million peopl countri,7.176501622455694,R
senat immigr bill,7.176501622455694,R
find common ground,7.202666212015188,D
