phrase,chi2,party
mr last,0.5700662597290613,D
fund bill,0.5759190944071471,D
republican hous,0.5759190944071471,D
would pass,0.5759190944071471,D
bill includ,0.5795900403542644,D
mani way,0.5887812294356571,D
among us,0.5909723121361821,D
children health,0.5909723121361821,D
safeti net,0.5909723121361821,D
also want,0.5920137938767147,D
immigr children,0.5920137938767147,D
high school,0.6215961377001442,D
immigr work,0.639060337198484,D
today want,0.639060337198484,D
need protect,0.6405182781547125,D
time congress,0.6405182781547125,D
us come,0.6405182781547125,D
american histori,0.6422147284840872,D
job creation,0.6422147284840872,D
everi day,0.6527526621448816,D
past year,0.6537929156549958,D
polic depart,0.6542013660396195,D
today honor,0.6542013660396195,D
amend yield,0.6617151512401009,D
like take,0.6617151512401009,D
make chang,0.6617151512401009,D
thousand american,0.6617151512401009,D
year one,0.6617151512401009,D
time may,0.6707280362564894,D
congress work,0.7011734181314839,D
republican want,0.7011734181314839,D
support res,0.7011734181314839,D
mani other,0.7048327484227894,D
one way,0.7113940051690097,D
want say,0.7142946288774419,D
protect nation,0.7352390569334455,D
throughout histori,0.7352390569334455,D
us make,0.7352390569334455,D
want help,0.7352390569334455,D
work year,0.7352390569334455,D
want us,0.7549815497264203,D
vote amend,0.7640801924255144,D
ask colleagu,0.7684317599847794,D
mani immigr,0.7694866160298209,D
post offic,0.7826114326580238,D
presid action,0.7826114326580238,D
vote yes,0.7826114326580238,D
would also,0.7893517251689529,D
famili member,0.7911195059025156,D
id like,0.7930749020205323,D
protect american,0.8064781932877982,D
get way,0.8087629626267897,D
help creat,0.8087629626267897,D
immigr need,0.8087629626267897,D
land opportun,0.8087629626267897,D
year last,0.8087629626267897,D
comprehens reform,0.8275255443573878,D
privileg repres,0.8275255443573878,D
recent year,0.8275255443573878,D
author act,0.854108433262714,D
public polici,0.854108433262714,D
coast guard,0.861835174061456,D
act chair,0.8822868683201348,D
america immigr,0.8822868683201348,D
near percent,0.8822868683201348,D
one nation,0.8822868683201348,D
tri come,0.8822868683201348,D
tri find,0.8822868683201348,D
countri know,0.891353112677407,D
friend colleagu,0.891353112677407,D
step forward,0.891353112677407,D
system broken,0.891353112677407,D
congress must,0.9258370801632506,D
sever year,0.9258370801632506,D
would rather,0.9258370801632506,D
american life,0.9292529896298983,D
bring forward,0.9292529896298983,D
fact mani,0.9292529896298983,D
would prevent,0.9292529896298983,D
call upon,0.9554617224592984,D
emerg room,0.9554617224592984,D
let talk,0.9554617224592984,D
system work,0.9554617224592984,D
work colleagu,0.9554617224592984,D
democrat colleagu,0.9558107740134785,D
medic care,0.9558107740134785,D
percent peopl,0.9558107740134785,D
stem job,0.9558107740134785,D
talk immigr,0.9558107740134785,D
young man,0.9558107740134785,D
presid reagan,0.9599479373748869,D
custom border,0.9639687034526043,D
access health,0.9826526977950589,D
american made,0.9826526977950589,D
govern shutdown,0.9826526977950589,D
said would,0.9977598090954412,D
live countri,1.0197830122663911,D
young men,1.0197830122663911,D
arm forc,1.0202002438325026,D
immigr issu,1.022890480005906,D
